p_val	avg_logFC	pct.1	pct.2	p_val_adj	cluster	gene
0	0.519543262530356	0.74	0.487	0	0	SCARB2
0	0.519194477997367	0.629	0.39	0	0	TGFBI
0	0.518153706134281	0.84	0.645	0	0	DYNLT1
0	0.516108295495689	0.472	0.238	0	0	ADAP2
0	0.515518461907921	0.78	0.573	0	0	SSB
0	0.511987956179143	0.842	0.554	0	0	TNFSF10
0	0.51085575615445	0.644	0.395	0	0	IFNGR2
0	0.510717640908014	0.601	0.335	0	0	PTAFR
0	0.510648072000085	0.917	0.654	0	0	MX1
0	0.507240615630728	0.656	0.395	0	0	ACSL1
0	0.501595378839713	0.881	0.579	0	0	IFIT1
0	0.495463470192922	0.573	0.287	0	0	IER3
0	0.494066539162509	0.595	0.32	0	0	B4GALT5
0	0.490610493871196	0.863	0.587	0	0	NFKBIA
0	0.489964837267103	0.823	0.628	0	0	GRB2
0	0.484800532158066	0.631	0.33	0	0	DUSP6
0	0.481910318088182	0.401	0.153	0	0	IL1R2
0	0.481796982335182	0.911	0.647	0	0	BCL2A1
0	0.480612769708768	0.88	0.591	0	0	GBP1
0	0.480045797780075	0.614	0.391	0	0	TUBA1C
0	0.479736861085194	0.512	0.212	0	0	PLA2G7
0	0.479304337074647	0.573	0.372	0	0	CBR1
0	0.473197974529274	0.939	0.656	0	0	IFIT3
0	0.473109022761268	0.84	0.41	0	0	CCL3
0	0.471804301286726	0.569	0.334	0	0	P2RX4
0	0.467500319436366	0.517	0.279	0	0	PLEKHO1
0	0.467170967375395	0.654	0.414	0	0	KCTD12
0	0.465060784968091	0.797	0.497	0	0	ATP6V0C
0	0.464346494580151	0.752	0.575	0	0	CD47
0	0.463699448120344	0.598	0.395	0	0	ANXA4
0	0.458025215397016	0.473	0.247	0	0	TNS3
0	0.457842626982062	0.903	0.768	0	0	ATP6V1F
0	0.457458666148645	0.244	0.073	0	0	HS3ST1
0	0.455568074001468	0.634	0.339	0	0	AQP9
0	0.455048411823665	0.726	0.489	0	0	CREG1
0	0.451995364904345	0.5	0.266	0	0	NPL
0	0.451839726394942	0.983	0.839	0	0	CTSD
0	0.450798137109982	0.788	0.587	0	0	OAS1
0	0.449360514011181	0.375	0.173	0	0	SLC39A8
0	0.449090691377744	0.831	0.623	0	0	UBE2L6
0	0.448580197363009	0.455	0.22	0	0	IDO1
0	0.446288030410661	0.828	0.601	0	0	EPSTI1
0	0.444527069490557	0.758	0.54	0	0	MGAT1
0	0.44277844108737	0.747	0.536	0	0	IFI35
0	0.441954664026519	0.242	0.076	0	0	METTL7B
0	0.439864747310596	0.52	0.307	0	0	DRAM1
0	0.438706691799127	0.995	0.939	0	0	VIM
0	0.438140896882754	0.79	0.594	0	0	GRINA
0	0.435903462898193	0.786	0.62	0	0	SNX10
0	0.435411320948364	0.758	0.536	0	0	ZEB2
0	0.433051592579223	0.587	0.328	0	0	GCH1
0	0.432418220327732	0.484	0.206	0	0	SPHK1
0	0.432111053403185	0.947	0.81	0	0	ANXA5
0	0.432018573928281	0.833	0.628	0	0	STAT1
0	0.431127504829885	0.916	0.777	0	0	EMP3
0	0.429227305008737	0.533	0.275	0	0	LILRB2
0	0.426697358657153	0.528	0.31	0	0	DMXL2
0	0.426023589658033	0.456	0.242	0	0	GMPR
0	0.424542914045233	0.69	0.517	0	0	CALM3
0	0.422742184096185	0.697	0.54	0	0	RAB5IF
0	0.422093786043913	0.686	0.443	0	0	IFIH1
0	0.420293281709611	0.32	0.11	0	0	CMKLR1
0	0.413918567468016	0.718	0.491	0	0	OAS2
0	0.413550526593284	0.556	0.355	0	0	MCUB
0	0.413497197876988	0.587	0.374	0	0	HMGA1
0	0.412255641251243	0.987	0.908	0	0	SRGN
0	0.41002767872931	0.901	0.746	0	0	ATP6V1G1
0	0.409802886627513	0.798	0.574	0	0	FCGR3A
0	0.409498117828845	0.982	0.896	0	0	CSTB
0	0.408865212200105	0.997	0.846	0	0	FCER1G
0	0.402798530097926	0.784	0.564	0	0	TPM4
0	0.397928942895958	0.671	0.467	0	0	TCIRG1
0	0.397894303708018	0.856	0.567	0	0	DUSP1
0	0.3966854894186	0.435	0.249	0	0	GLMP
0	0.396116472340746	0.725	0.567	0	0	ELOC
0	0.39532943729612	0.782	0.512	0	0	MX2
0	0.394818559958178	0.604	0.368	0	0	PTPRE
0	0.390482976622804	0.637	0.444	0	0	SQOR
0	0.390362556106391	0.401	0.194	0	0	CKAP4
0	0.38975752047335	0.438	0.208	0	0	HPSE
0	0.387404655467589	0.975	0.865	0	0	LGALS3
0	0.386421424079256	0.696	0.44	0	0	CDKN1A
0	0.386132424197273	0.498	0.328	0	0	RTCB
0	0.385425869311572	0.903	0.717	0	0	BRI3
0	0.382145931626567	0.876	0.585	0	0	IFIT2
0	0.381972094844352	0.994	0.926	0	0	SAT1
0	0.381255814821737	1	0.996	0	0	TMSB10
0	0.38040043885264	0.742	0.597	0	0	H2AFY
0	0.379336636080187	0.855	0.716	0	0	PSMB9
0	0.377887328416849	0.869	0.673	0	0	PLSCR1
0	0.377292730425097	0.647	0.439	0	0	STAT2
0	0.376643237987454	0.731	0.563	0	0	LGALS9
0	0.374881536173624	0.393	0.203	0	0	IL15RA
0	0.372295009775482	0.488	0.241	0	0	TLR2
0	0.371394820518275	0.936	0.747	0	0	CD68
0	0.368441378476645	0.76	0.58	0	0	DEK
0	0.364403113228268	0.65	0.404	0	0	GBP5
0	0.363549834323157	0.601	0.383	0	0	TFEC
0	0.3630606126233	0.725	0.532	0	0	ATP6V1B2
0	0.356489167765884	0.773	0.6	0	0	HSBP1
0	0.35495416790603	0.852	0.723	0	0	TPM3
0	0.353480607250962	0.365	0.182	0	0	NRROS
0	0.349154150285806	0.732	0.566	0	0	MOB1A
0	0.348010187451128	0.999	0.969	0	0	S100A11
0	0.335837943253045	0.716	0.5	0	0	HERC5
0	0.333113774116696	0.926	0.859	0	0	GABARAP
0	0.332820961488586	0.737	0.508	0	0	TAP1
0	0.325529261647087	0.878	0.739	0	0	GSTO1
0	0.315585578419511	1	0.986	0	0	ACTB
0	0.314375461038832	0.924	0.836	0	0	GPX4
0	0.313686237333114	0.786	0.554	0	0	IFI44L
0	0.312430804663235	0.906	0.818	0	0	RHOA
0	0.308358773613143	0.947	0.84	0	0	LAPTM5
0	0.299820157928905	0.953	0.874	0	0	LY6E
0	0.299717228964559	0.939	0.692	0	0	TAOK1
0	0.295200390176168	0.396	0.173	0	0	CLU
0	0.290011695586771	0.954	0.858	0	0	IFI6
0	0.287183531966636	0.953	0.849	0	0	CD63
0	0.27856708780932	0.795	0.565	0	0	PLEK
0	0.273601585211596	0.99	0.915	0	0	H3F3B
0	0.254272673799953	0.995	0.974	0	0	SERF2
6.4228533959362e-323	0.381635466845008	0.586	0.413	1.52491385326317e-318	0	PDXK
6.50684455572922e-321	0.355805986845662	0.662	0.445	1.54485503442123e-316	0	GBP4
6.80328394323396e-321	0.362305674126749	0.368	0.192	1.61523567380261e-316	0	HSD3B7
1.51035867933669e-320	0.38091303574796	0.536	0.332	3.58589357648117e-316	0	DSE
9.04436571276986e-320	0.300937913023876	0.874	0.758	2.14731330752582e-315	0	ATP6V0B
2.72452500399155e-319	0.342575399027057	0.709	0.522	6.46856726447675e-315	0	NAPA
2.32431206823431e-318	0.293495336479247	0.893	0.791	5.5183817124019e-314	0	POMP
2.96258510071805e-317	0.387776096492323	0.51	0.319	7.0337695461248e-313	0	MYOF
2.17879242841449e-314	0.35418351771439	0.656	0.468	5.17288898354168e-310	0	FLOT1
6.43147310876791e-314	0.364221599176653	0.463	0.256	1.52696034548368e-309	0	RNF19B
8.13000502178977e-313	0.523099085805341	0.456	0.275	1.93022579227333e-308	0	FPR3
1.13574546508963e-311	0.344223844608215	0.706	0.484	2.69648688321579e-307	0	NME2
3.47634430145243e-311	0.342270693417577	0.742	0.621	8.25353664050835e-307	0	CLTA
1.05509815943816e-310	0.335383689363975	0.758	0.609	2.50501405013808e-306	0	GNB2
7.62019539462519e-310	0.360383903847576	0.711	0.516	1.80918679059191e-305	0	RNF130
6.8116458460688e-309	0.389339386372257	0.7	0.508	1.61722095677365e-304	0	FCGR1A
7.30422396872113e-309	0.357703292652737	0.601	0.428	1.73416885465377e-304	0	CNDP2
2.64477777320479e-308	0.385768310653395	0.474	0.276	6.27923138914281e-304	0	CSF2RB
2.82935396954328e-307	0.354815640637079	0.534	0.322	6.71745219448966e-303	0	LILRB3
4.54515821462888e-306	0.447952742888399	0.413	0.207	1.07911146331719e-301	0	SDS
8.11507629163282e-305	0.328131201264073	0.766	0.565	1.92668141315946e-300	0	FYB1
1.89677628661065e-304	0.351192110188023	0.412	0.222	4.503326259671e-300	0	SECTM1
1.17195093610495e-301	0.360795774877501	0.451	0.252	2.78244591250036e-297	0	RIN2
8.80026212156494e-300	0.39304238646654	0.626	0.455	2.08935823290195e-295	0	MFSD1
1.56950053562038e-299	0.336238403918573	0.641	0.426	3.72630817166991e-295	0	CMPK2
2.80312074930091e-299	0.258659638228754	0.934	0.869	6.65516928299023e-295	0	CLIC1
7.28478678465302e-299	0.385255914534834	0.464	0.275	1.72955407841232e-294	0	TCN2
3.42013737305444e-298	0.34932647779342	0.14	0.032	8.12009015110584e-294	0	CYP19A1
1.21434684381861e-297	0.349135608328495	0.502	0.296	2.88310227659414e-293	0	LILRB1
1.18092622242539e-296	0.346694821377155	0.672	0.459	2.80375503728236e-292	0	HMOX1
5.00211700601275e-296	0.255517143173293	0.773	0.576	1.18760261956755e-291	0	ZFP36
2.20195490371157e-295	0.331174643770483	0.652	0.443	5.227881332392e-291	0	OAS3
6.14173902915611e-293	0.34688890867195	0.565	0.362	1.45817168030224e-288	0	PIM3
3.08076691458412e-292	0.421392712238452	0.441	0.241	7.31435680860561e-288	0	NEXN
1.12429763412753e-291	0.288712000485574	0.179	0.051	2.66930744294558e-287	0	OLFML2B
7.39802433521043e-290	0.319674344956689	0.738	0.538	1.75643893766566e-285	0	XAF1
7.99931320416268e-290	0.334587798632161	0.283	0.133	1.8991969409323e-285	0	IL18BP
7.70426761828496e-288	0.367214321700554	0.438	0.245	1.82914721793322e-283	0	P2RX7
1.61491741508584e-287	0.312419707769444	0.3	0.139	3.8341369268968e-283	0	ASCL2
2.32152188127448e-287	0.398010597316591	0.429	0.256	5.51175725052188e-283	0	MGLL
3.00589925160362e-286	0.355478012222578	0.29	0.12	7.13660600315732e-282	0	CLEC5A
1.02846723786324e-284	0.354525754585423	0.63	0.452	2.4417869161349e-280	0	RBMS1
1.17502659177827e-284	0.324500131302848	0.573	0.36	2.78974813419996e-280	0	FPR1
1.58937668430095e-284	0.35352501476084	0.427	0.235	3.77349812386732e-280	0	GALM
3.0491033922472e-284	0.332180538234182	0.702	0.501	7.23918127387331e-280	0	NCF1
4.15505102228416e-284	0.296169885313517	0.263	0.102	9.86492213710706e-280	0	RNASE2
3.19152789234575e-283	0.347927874486641	0.697	0.565	7.57732552200728e-279	0	ATP6V0D1
4.20326135013613e-283	0.393178527536133	0.716	0.52	9.97938309749321e-279	0	SLC11A1
6.63481200586294e-282	0.385073378130738	0.451	0.27	1.57523706643198e-277	0	CD84
1.40747685037494e-280	0.316018790580368	0.438	0.235	3.34163153816017e-276	0	PHLDA2
1.7783769833191e-279	0.362238542050269	0.4	0.231	4.22222263379622e-275	0	IRAK1
9.55956614963428e-279	0.306487015062719	0.315	0.149	2.26963219524617e-274	0	HESX1
2.70232384527416e-277	0.34405908048101	0.611	0.412	6.4158572734499e-273	0	FGR
2.83429103012402e-277	0.32715546699813	0.441	0.238	6.72917376372046e-273	0	FOSB
5.50911174544437e-277	0.334084075097264	0.447	0.254	1.3079733106034e-272	0	NECTIN2
8.58460954767773e-277	0.345987689140246	0.657	0.5	2.03815799880965e-272	0	SNX6
9.74019289007829e-277	0.325582618293717	0.269	0.114	2.31251659596239e-272	0	FAM20C
7.76235874025896e-275	0.334622113029681	0.642	0.465	1.84293921211228e-270	0	BAZ1A
1.67233545286636e-274	0.333960650383324	0.645	0.459	3.9704588321953e-270	0	TGFB1
6.1293199555633e-274	0.346373788504273	0.543	0.352	1.45522314384984e-269	0	USP18
2.5243380241334e-273	0.303025540385057	0.372	0.184	5.99328333689751e-269	0	PTGER2
1.57386865481251e-272	0.320254201353994	0.357	0.176	3.73667896025587e-268	0	FPR2
3.6533520906582e-272	0.331763887315383	0.596	0.418	8.6737885336407e-268	0	ARL8B
7.71478751304328e-272	0.281364101617582	0.426	0.228	1.83164485134674e-267	0	LILRA5
8.03572858040695e-272	0.317583738205855	0.412	0.225	1.90784267956022e-267	0	SRGAP2
2.79674736784087e-270	0.339450467464521	0.593	0.416	6.64003760072779e-266	0	LACTB
3.11424618703793e-267	0.325038418495147	0.336	0.166	7.39384329726546e-263	0	IL27
4.50322802786348e-267	0.34569069596167	0.542	0.351	1.06915639837535e-262	0	SIRPA
2.47152117266036e-266	0.296307078658688	0.594	0.386	5.86788556813023e-262	0	DDX58
5.38418358738677e-266	0.265747679810092	0.837	0.655	1.27831286731737e-261	0	SPI1
1.75699937463968e-265	0.326375339279729	0.604	0.4	4.17146791526954e-261	0	HAVCR2
1.51808468555789e-264	0.451244172067889	0.335	0.172	3.60423666045155e-260	0	MMP19
4.92358003895074e-264	0.280529812414343	0.358	0.177	1.16895637284768e-259	0	VCAN
3.21832472461436e-263	0.357457975561565	0.641	0.439	7.64094656117941e-259	0	MS4A6A
3.75242276406722e-263	0.324812104183692	0.617	0.429	8.90900212644839e-259	0	FNDC3B
1.24297318462405e-262	0.473046852614964	0.837	0.7	2.95106693493443e-258	0	FABP5
1.29928470626075e-262	0.253817922365508	0.815	0.632	3.08476174960428e-258	0	PLAUR
4.68474712946741e-262	0.310651776535015	0.716	0.533	1.11225266347815e-257	0	SAMD9L
1.05780021969046e-261	0.328370620264653	0.654	0.509	2.51142928158908e-257	0	DNAJC15
3.47107347865976e-261	0.294571745804683	0.652	0.447	8.241022653034e-257	0	HIF1A
3.48611499285681e-261	0.336276178921648	0.518	0.353	8.27673421604063e-257	0	UNC93B1
4.2529129932112e-261	0.284857244363459	0.242	0.107	1.0097266028482e-256	0	SLC30A1
4.06861120879904e-260	0.360005835229422	0.616	0.461	9.65969673193068e-256	0	BLVRB
7.04517170673284e-260	0.284970059739248	0.669	0.473	1.67266466661251e-255	0	DDX60L
1.51978477278044e-259	0.323266150053319	0.614	0.43	3.60827300753533e-255	0	NMI
1.0656821337496e-258	0.464872840232832	0.348	0.172	2.53014252194831e-254	0	CXCL2
1.48020332909343e-258	0.294064359351114	0.803	0.693	3.51429874393362e-254	0	PKM
9.26689535931968e-258	0.304670609360363	0.774	0.586	2.20014629620968e-253	0	JUN
4.23471996672279e-257	0.318114478958818	0.624	0.46	1.00540721449933e-252	0	ATG3
6.51855557867902e-257	0.350235641902999	0.472	0.283	1.54763546548997e-252	0	C3AR1
1.19670518283106e-256	0.283764130323497	0.788	0.668	2.8412174450775e-252	0	DRAP1
1.25561243268842e-256	0.324119785033526	0.667	0.51	2.98107503768885e-252	0	FAM49B
2.17249566458647e-256	0.311788980343148	0.397	0.209	5.15793920686119e-252	0	AC015912.3
8.03599737601029e-256	0.282043657808104	0.262	0.108	1.90790649701236e-251	0	STAB1
3.77230997387272e-255	0.378900089036119	0.595	0.459	8.95621833996862e-251	0	UCP2
6.27860406622095e-255	0.302478398265375	0.697	0.52	1.49066617740218e-250	0	WARS
1.68252942194408e-253	0.307724218911962	0.611	0.426	3.99466135357964e-249	0	CYSTM1
3.07926430471238e-252	0.253451042464859	0.732	0.535	7.31078931224813e-248	0	OASL
1.60598161057105e-251	0.430469093814551	0.614	0.448	3.81292153981778e-247	0	ZFP36L1
3.76859466728657e-250	0.335141522421415	0.52	0.365	8.94739745907177e-246	0	DPH3
1.96879375486642e-247	0.277381931196446	0.829	0.72	4.67431013280385e-243	0	ARPC5
5.33960466648564e-247	0.323833975631562	0.576	0.429	1.26772893991702e-242	0	SPPL2A
7.85171763962383e-246	0.389186540455447	0.696	0.529	1.86415480199949e-241	0	MS4A4A
2.98683023609744e-244	0.31728283737133	0.477	0.309	7.09133234654254e-240	0	ACOT9
5.49917673175379e-244	0.307043039240116	0.659	0.505	1.30561453965299e-239	0	RAB1A
1.06385805562223e-243	0.27902995825434	0.26	0.11	2.52581179565831e-239	0	DYSF
3.14317659469925e-243	0.329546728503376	0.594	0.441	7.46252987113496e-239	0	NAGK
1.80849877702588e-242	0.328425899068843	0.584	0.408	4.29373779641483e-238	0	GNS
1.81154004165227e-240	0.31336501446171	0.402	0.236	4.30095836689082e-236	0	ST3GAL5
3.41350781275677e-240	0.307891763316616	0.468	0.292	8.10435024904713e-236	0	CBWD2
1.96720378834844e-238	0.27928184892519	0.848	0.774	4.67053523429687e-234	0	PSME2
2.27571625828472e-238	0.310367072523749	0.39	0.26	5.40300554041959e-234	0	ABHD12
4.38404574744661e-238	0.319126900768484	0.449	0.287	1.04086014135877e-233	0	SMIM29
2.01250358904854e-235	0.317262640172195	0.354	0.204	4.77808602111904e-231	0	PITPNA
8.81620601234966e-234	0.308645574496641	0.655	0.505	2.09314363145206e-229	0	RAB10
4.03614880441362e-233	0.312028876985405	0.554	0.373	9.58262449143881e-229	0	IL10RA
6.03730129057142e-233	0.320225032888702	0.574	0.417	1.43337607240747e-228	0	FERMT3
1.95782319182524e-232	0.332303522311878	0.319	0.165	4.64826382203149e-228	0	PLPP3
1.12475530237978e-230	0.317714908648778	0.352	0.193	2.67039403891008e-226	0	TTYH3
1.27204878074008e-230	0.286863587932	0.215	0.09	3.02009821523309e-226	0	MAP3K7CL
1.64174626054376e-230	0.322238492577899	0.59	0.421	3.897833971783e-226	0	RBM47
5.49945522666934e-230	0.327040615283485	0.54	0.387	1.30568065991583e-225	0	LYSMD2
7.85978139918103e-230	0.330628610061237	0.693	0.552	1.86606929979356e-225	0	ARF6
2.79455594226908e-229	0.330610240609431	0.673	0.494	6.63483471813524e-225	0	CYBB
1.21048934591579e-228	0.332530668041583	0.43	0.267	2.87394380507327e-224	0	ITGA5
1.52909577998083e-228	0.292078620316501	0.76	0.656	3.63037920083049e-224	0	AP2S1
3.18683823817411e-228	0.301575097141191	0.4	0.248	7.56619134507297e-224	0	SPTLC2
3.97075019382812e-228	0.315914673504985	0.54	0.37	9.42735511018672e-224	0	SLC31A2
5.14910583386032e-228	0.296705291260962	0.309	0.149	1.22250070707512e-223	0	ADM
1.87996675326163e-227	0.309988708391925	0.697	0.537	4.46341706559376e-223	0	UPP1
1.16413360214366e-226	0.276381039495239	0.743	0.638	2.76388599820948e-222	0	PSMB3
1.96179354298068e-226	0.359162317284792	0.49	0.351	4.65769022974473e-222	0	B3GNT2
4.50538730258975e-225	0.304378210593799	0.446	0.288	1.06966905338086e-220	0	ATP6V1C1
7.55614786860258e-224	0.29213950183971	0.663	0.48	1.79398062696362e-219	0	RAB31
3.92418576471771e-221	0.319949625483912	0.429	0.271	9.3168018425928e-217	0	SLC43A2
7.28071822717788e-221	0.30616573131798	0.316	0.171	1.72858812149657e-216	0	LILRA6
1.62767364688864e-217	0.302263464290703	0.432	0.272	3.86442277244302e-213	0	EMILIN2
4.86670226376967e-217	0.301945517487219	0.354	0.192	1.1554524514642e-212	0	ATP2B1-AS1
8.9913761046222e-217	0.263240509179713	0.437	0.256	2.1347325147594e-212	0	FGL2
2.95248020247166e-213	0.273908899278331	0.772	0.626	7.00977849670821e-209	0	MCL1
3.42147770775826e-211	0.302124577638376	0.54	0.387	8.12327237375965e-207	0	UBE2D1
4.77451458159519e-211	0.287777059559677	0.435	0.266	1.13356525196233e-206	0	RIPK2
3.83780364861263e-210	0.287641580069972	0.394	0.249	9.1117134225361e-206	0	TPD52L2
1.5874258171706e-209	0.300761501851785	0.35	0.204	3.76886637512644e-205	0	LMO2
1.92677579026915e-209	0.291420930943297	0.388	0.249	4.57455108125703e-205	0	AAED1
6.72365556671876e-209	0.265491273072662	0.307	0.156	1.59633030465037e-204	0	PSTPIP2
9.36765446655513e-209	0.271153805493981	0.646	0.475	2.22406852344952e-204	0	IFI44
1.53670829192782e-208	0.297301240182336	0.528	0.38	3.64845282669503e-204	0	RRBP1
8.46293858251471e-206	0.27970278129851	0.254	0.125	2.00927087826064e-201	0	ASGR1
2.65379443695962e-203	0.298800131220713	0.454	0.306	6.30063875222952e-199	0	GNB4
1.80076466899463e-199	0.279201741415747	0.662	0.5	4.27537547712705e-195	0	PSMA6
6.3616066752929e-198	0.278854176380899	0.659	0.519	1.51037265684804e-193	0	RHEB
1.48065415334118e-197	0.261117034494111	0.696	0.532	3.51536909086262e-193	0	PARP14
3.5693148743951e-197	0.307229545784348	0.51	0.338	8.47426737478884e-193	0	CEBPD
4.49164123331357e-197	0.259846258027117	0.276	0.152	1.06640546161331e-192	0	TMEM51
3.59952922236534e-196	0.287787817955434	0.359	0.224	8.54600227973979e-192	0	SLAMF8
4.72355551022393e-196	0.295314666813297	0.6	0.464	1.12146654923736e-191	0	TLN1
1.33825422938858e-195	0.277408578833457	0.349	0.21	3.17728319141436e-191	0	NUP62
1.79108531617313e-195	0.307929864130819	0.447	0.312	4.25239475765825e-191	0	COX20
2.10589562338082e-195	0.29566103409274	0.42	0.272	4.99981738903073e-191	0	RRAGC
9.07500456786103e-195	0.263333725784223	0.804	0.671	2.15458758450157e-190	0	RTN4
1.61247653071051e-194	0.261352596741927	0.701	0.584	3.8283417792129e-190	0	ARF1
2.45585688246558e-191	0.279418899296454	0.37	0.231	5.83069541034977e-187	0	CGAS
5.67827279864177e-190	0.273437887641182	0.241	0.135	1.34813552785353e-185	0	FXYD6
1.18917205143421e-189	0.282174350444783	0.515	0.366	2.82333228451511e-185	0	PARP12
1.71039414462664e-189	0.251696059268903	0.247	0.118	4.06081777817257e-185	0	KLHDC7B
1.68015342553989e-188	0.281615800941081	0.631	0.501	3.9890202629168e-184	0	SH3GLB1
3.32383862734608e-188	0.287627318620874	0.544	0.409	7.89145766904506e-184	0	GNB1
2.32145752459024e-187	0.329942710466493	0.527	0.424	5.51160445488216e-183	0	CNIH4
2.35135246086945e-187	0.289539597016291	0.363	0.234	5.58258101259624e-183	0	GNPDA1
1.71265615308696e-183	0.273589088182306	0.672	0.53	4.06618823865905e-179	0	GNAI2
4.87629706284534e-183	0.267059744772315	0.758	0.619	1.15773044866074e-178	0	GLIPR2
2.25251110616646e-180	0.251095369443303	0.278	0.156	5.3479118682604e-176	0	ABCD1
1.89418791951204e-179	0.286043557958154	0.402	0.286	4.49718095850548e-175	0	ME2
2.34477627231501e-179	0.292239111639589	0.562	0.428	5.5669678257303e-175	0	SMCO4
3.27431244909924e-179	0.275431988297495	0.591	0.461	7.77387261665141e-175	0	FAM96A
1.37634484468086e-177	0.281241226852333	0.391	0.257	3.26771793024131e-173	0	CD40
2.88289218647468e-177	0.26091050044518	0.501	0.349	6.84456262912819e-173	0	PML
1.56517328222071e-176	0.269589403234682	0.604	0.478	3.7160344066484e-172	0	M6PR
3.42382499613714e-174	0.25997148930935	0.375	0.243	8.12884530582881e-170	0	LPCAT2
3.49355387386701e-174	0.287528375514926	0.435	0.279	8.29439560733505e-170	0	ABCA1
7.20296000643634e-174	0.255477214216433	0.348	0.227	1.71012676472812e-169	0	CYFIP1
2.23212488214982e-173	0.282228899427689	0.621	0.5	5.29951089520011e-169	0	C6orf62
2.81515106327341e-173	0.25788318791249	0.757	0.635	6.68373165442372e-169	0	SAMHD1
3.48052018541807e-173	0.366484069990759	0.26	0.148	8.26345102421958e-169	0	H1F0
5.21847045607883e-171	0.273182480762056	0.53	0.384	1.23896925568224e-166	0	DTX3L
1.09235828305001e-170	0.256505824992345	0.479	0.333	2.59347703561733e-166	0	PARP10
2.22878496548164e-170	0.306182264999973	0.593	0.436	5.29158126504651e-166	0	DAB2
3.888028718822e-170	0.291792757131299	0.373	0.235	9.23095778422718e-166	0	METRNL
8.04119768253282e-170	0.257381543244365	0.55	0.395	1.90914115378694e-165	0	ZNFX1
1.11832772233199e-169	0.279836867997526	0.614	0.466	2.6551336783606e-165	0	ADA2
1.23766238370498e-169	0.279182088506145	0.595	0.478	2.93845803139235e-165	0	PGD
7.79892487764113e-168	0.335795970293939	0.608	0.501	1.85162074444956e-163	0	HSPA5
1.35903379423891e-165	0.272698787721713	0.381	0.263	3.22661803428202e-161	0	WDFY1
2.41833539333231e-164	0.254694344816586	0.639	0.513	5.74161189084957e-160	0	ARHGDIA
7.13301312412558e-164	0.259573455688568	0.653	0.51	1.6935199759299e-159	0	RNF13
